section,category,description,date,metric,value
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-17,Counts,2
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-18,Counts,1
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-19,Counts,2
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-20,Counts,6
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-21,Counts,2
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-22,Counts,2
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-23,Counts,6
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-24,Counts,7
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-25,Counts,4
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-26,Counts,7
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-27,Counts,10
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-28,Counts,9
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-02-29,Counts,11
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-01,Counts,56
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-02,Counts,26
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-03,Counts,35
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-04,Counts,45
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-05,Counts,39
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-06,Counts,60
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-07,Counts,55
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-08,Counts,112
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-09,Counts,184
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-10,Counts,173
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-11,Counts,180
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-12,Counts,186
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-13,Counts,271
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-14,Counts,206
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-15,Counts,301
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-16,Counts,339
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-17,Counts,316
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-18,Counts,343
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-19,Counts,289
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-20,Counts,353
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-21,Counts,305
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-22,Counts,265
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-23,Counts,415
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-24,Counts,350
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-25,Counts,403
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-26,Counts,299
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-27,Counts,393
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-28,Counts,332
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-29,Counts,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-30,Counts,440
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-03-31,Counts,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-01,Counts,507
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-02,Counts,376
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-03,Counts,457
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-04,Counts,334
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-05,Counts,334
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-06,Counts,452
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-07,Counts,361
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-08,Counts,411
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-09,Counts,414
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-10,Counts,481
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-11,Counts,378
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-12,Counts,396
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-13,Counts,495
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-14,Counts,402
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-15,Counts,499
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-16,Counts,390
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-17,Counts,516
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-18,Counts,411
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-19,Counts,314
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-20,Counts,631
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-21,Counts,360
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-22,Counts,408
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-23,Counts,419
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-24,Counts,444
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-25,Counts,396
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-26,Counts,363
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-27,Counts,439
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-28,Counts,363
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-29,Counts,349
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-04-30,Counts,378
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-01,Counts,443
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-02,Counts,353
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-03,Counts,288
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-04,Counts,398
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-05,Counts,351
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-06,Counts,358
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-07,Counts,324
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-08,Counts,417
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-09,Counts,290
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-10,Counts,305
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-11,Counts,357
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-12,Counts,379
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-13,Counts,360
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-14,Counts,308
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-15,Counts,337
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-16,Counts,244
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-17,Counts,222
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-18,Counts,316
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-19,Counts,303
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-20,Counts,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-21,Counts,219
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-22,Counts,234
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-23,Counts,167
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-24,Counts,166
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-25,Counts,211
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-26,Counts,208
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-27,Counts,167
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-28,Counts,178
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-29,Counts,175
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-30,Counts,138
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-05-31,Counts,143
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-01,Counts,188
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-02,Counts,172
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-03,Counts,171
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-04,Counts,135
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-05,Counts,137
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-06,Counts,156
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-07,Counts,184
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-08,Counts,167
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-09,Counts,172
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-10,Counts,176
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-11,Counts,157
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-12,Counts,191
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-13,Counts,175
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-14,Counts,179
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-15,Counts,317
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-16,Counts,250
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-17,Counts,257
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-18,Counts,201
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-19,Counts,204
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-20,Counts,267
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-21,Counts,240
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-22,Counts,399
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-23,Counts,300
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-24,Counts,344
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-25,Counts,350
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-26,Counts,325
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-27,Counts,340
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-28,Counts,300
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-29,Counts,470
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-06-30,Counts,448
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-01,Counts,518
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-02,Counts,450
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-03,Counts,426
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-04,Counts,469
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-05,Counts,523
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-06,Counts,682
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-07,Counts,560
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-08,Counts,586
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-09,Counts,491
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-10,Counts,528
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-11,Counts,462
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-12,Counts,480
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-13,Counts,571
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-14,Counts,448
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-15,Counts,530
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-16,Counts,470
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-17,Counts,471
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-18,Counts,565
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-19,Counts,504
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-20,Counts,678
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-21,Counts,514
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-22,Counts,462
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-23,Counts,421
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-24,Counts,406
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-25,Counts,405
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-26,Counts,342
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-27,Counts,438
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-28,Counts,433
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-29,Counts,323
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-30,Counts,279
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-07-31,Counts,358
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-01,Counts,341
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-02,Counts,269
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-03,Counts,417
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-04,Counts,314
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-05,Counts,320
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-06,Counts,273
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-07,Counts,259
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-08,Counts,271
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-09,Counts,258
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-10,Counts,300
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-11,Counts,280
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-12,Counts,289
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-13,Counts,230
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-14,Counts,248
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-15,Counts,258
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-16,Counts,261
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-17,Counts,294
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-18,Counts,328
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-19,Counts,317
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-20,Counts,271
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-21,Counts,225
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-22,Counts,243
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-23,Counts,321
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-24,Counts,381
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-25,Counts,308
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-26,Counts,239
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-27,Counts,209
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-28,Counts,315
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-29,Counts,252
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-30,Counts,193
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-08-31,Counts,295
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-01,Counts,318
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-02,Counts,336
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-03,Counts,342
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-04,Counts,310
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-05,Counts,295
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-06,Counts,279
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-07,Counts,552
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-08,Counts,510
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-09,Counts,483
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-10,Counts,404
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-11,Counts,449
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-12,Counts,420
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-13,Counts,420
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-14,Counts,492
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-15,Counts,424
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-16,Counts,320
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-17,Counts,258
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-18,Counts,260
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-19,Counts,116
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-20,Counts,84
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-21,Counts,7
Case Summary,Cases,Cases of COVID-19 in Colorado by Date of Illness Onset,2020-09-22,Counts,26
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-01,Cumulative,4
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-02,Cumulative,4
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-03,Cumulative,5
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-04,Cumulative,6
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-05,Cumulative,8
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-06,Cumulative,9
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-07,Cumulative,9
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-08,Cumulative,11
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-09,Cumulative,12
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-10,Cumulative,15
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-11,Cumulative,15
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-12,Cumulative,15
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-13,Cumulative,17
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-14,Cumulative,18
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-15,Cumulative,25
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-16,Cumulative,25
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-17,Cumulative,27
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-18,Cumulative,28
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-19,Cumulative,30
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-20,Cumulative,36
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-21,Cumulative,38
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-22,Cumulative,40
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-23,Cumulative,46
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-24,Cumulative,53
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-25,Cumulative,57
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-26,Cumulative,64
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-27,Cumulative,74
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-28,Cumulative,83
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-02-29,Cumulative,94
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-01,Cumulative,150
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-02,Cumulative,176
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-03,Cumulative,211
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-04,Cumulative,256
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-05,Cumulative,295
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-06,Cumulative,355
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-07,Cumulative,410
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-08,Cumulative,522
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-09,Cumulative,706
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-10,Cumulative,879
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-11,Cumulative,1059
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-12,Cumulative,1245
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-13,Cumulative,1516
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-14,Cumulative,1722
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-15,Cumulative,2023
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-16,Cumulative,2362
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-17,Cumulative,2678
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-18,Cumulative,3021
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-19,Cumulative,3310
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-20,Cumulative,3663
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-21,Cumulative,3968
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-22,Cumulative,4233
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-23,Cumulative,4648
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-24,Cumulative,4998
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-25,Cumulative,5401
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-26,Cumulative,5700
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-27,Cumulative,6093
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-28,Cumulative,6425
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date of Illness Onset,2020-03-29,Cumulative,6731
